id_bien;code_type_local;surface_carrez;nb_piece;id_localisation
1;2;50.42;2;1
2;2;48.22;3;2
3;2;30.23;1;2
4;1;123.16;5;2
5;2;42.92;2;2
6;2;130.8;6;3
7;1;93.23;4;3
8;2;88.11;4;3
9;2;135.68;4;3
10;2;46.05;2;3
11;2;51.7;2;3
12;2;58.62;2;3
13;2;67.33;3;3
14;1;96.46;5;3
15;2;90.4;4;3
16;2;50.11;1;3
17;1;109.22;5;4
18;2;35.6;2;4
19;2;108.65;4;5
20;2;82.6;4;5
21;2;38;1;5
22;2;47.65;3;5
23;2;75;4;5
24;2;62.38;3;5
25;2;92.04;4;5
26;2;81.24;4;5
27;2;69.66;3;5
28;2;88.83;4;5
29;2;56.65;2;5
30;2;54.7;2;5
31;2;70.15;3;5
32;2;57.23;2;5
33;2;61.89;3;5
34;2;89.2;5;5
35;2;28.8;1;5
36;2;68.92;3;5
37;2;58.3;2;5
38;2;31.65;2;6
39;2;35.86;3;6
40;2;53.81;3;6
41;2;52.58;2;7
42;2;58.71;2;7
43;1;117;5;7
44;2;84.24;3;7
45;2;131.91;4;7
46;2;112.3;5;7
47;2;30.62;1;7
48;2;165.92;5;7
49;2;53.43;3;7
50;2;47.6;2;7
51;2;132.16;5;7
52;1;138.05;5;7
53;2;133.24;4;7
54;2;111.06;5;7
55;2;166.98;5;7
56;2;138.03;5;8
57;2;68.11;2;8
58;2;88;3;8
59;2;64.44;3;8
60;2;22.2;1;8
61;2;42;2;9
62;2;45.36;2;10
63;2;45.54;1;10
64;1;164.18;6;10
65;2;88.7;4;10
66;2;46.12;3;10
67;2;50.33;2;10
68;2;34.56;2;10
69;2;55.4;3;10
70;2;61.54;4;10
71;2;51;2;10
72;2;92.45;3;10
73;2;68.45;3;10
74;2;77.86;4;10
75;2;32.6;2;10
76;2;164.87;6;11
77;2;68.23;3;11
78;2;54.84;2;11
79;1;70.1;3;11
80;2;50.64;2;11
81;2;54.65;2;11
82;2;81.15;3;11
83;2;35.59;2;11
84;2;74.72;2;11
85;2;70.45;3;11
86;2;92.47;5;11
87;2;42.2;2;12
88;1;105.68;6;12
89;2;67.94;3;12
90;2;68.08;3;12
91;2;42.01;2;12
92;2;42.59;2;12
93;2;68.11;3;13
94;2;82.59;3;14
95;2;63.58;3;14
96;2;71.08;3;14
97;1;97.03;4;14
98;2;133.77;4;14
99;2;63.45;3;14
100;2;66.95;3;14
101;2;74.85;3;14
102;1;83.82;4;14
103;2;56.96;2;14
104;2;63.54;3;14
105;2;114.17;4;14
106;2;36.21;1;14
107;2;95.66;5;14
108;2;2.36;0;14
109;2;63.27;3;14
110;2;24.8;1;15
111;2;84.97;3;15
112;2;45.12;1;15
113;2;52.6;2;16
114;2;70.09;3;16
115;1;94.09;2;16
116;2;37.63;2;16
117;2;71.29;3;16
118;1;103.62;4;16
119;2;91.69;3;17
120;2;62.03;3;18
121;2;72.75;4;18
122;2;63.17;3;18
123;2;38.67;2;18
124;1;82.37;4;18
125;2;78.54;4;18
126;2;117.63;5;18
127;2;57.5;3;18
128;1;112.93;4;19
129;2;70.53;3;19
130;1;90.33;4;19
131;2;113.52;4;19
132;1;102.52;4;19
133;2;200;4;20
134;2;44.48;2;21
135;1;95.43;4;21
136;2;87.38;4;21
137;1;110.13;5;21
138;2;71.43;3;21
139;1;73.77;4;21
140;2;85.12;4;21
141;2;64.21;2;22
142;2;76.7;4;23
143;2;107.61;5;24
144;2;45.5;2;24
145;2;42.78;2;25
146;1;124.55;5;26
147;1;99.13;4;26
148;2;43.42;2;26
149;2;56.02;3;26
150;2;69.65;3;26
151;1;101.52;6;26
152;2;59.67;2;26
153;2;68.69;3;26
154;2;70.78;3;27
155;2;46.68;2;27
156;2;77.3;4;28
157;2;51.99;2;29
158;2;21.48;2;29
159;2;134.17;4;30
160;1;83.6;4;31
161;1;99.39;4;32
162;1;222.97;3;32
163;2;85.12;4;33
164;2;43.23;2;34
165;2;32.27;2;34
166;2;295.21;6;35
167;2;127.2;4;36
168;2;65.29;3;37
169;2;44.24;2;37
170;2;42.89;2;38
171;2;35.3;3;39
172;2;48.38;2;40
173;2;71.8;3;41
174;2;30.98;2;42
175;2;87.23;4;43
176;1;105.12;4;43
177;2;135.89;2;44
178;2;58.13;2;45
179;2;38.67;2;46
180;1;120.5;5;47
181;2;65.82;3;47
182;2;86.8;3;48
183;2;41.82;1;49
184;2;56.63;2;50
185;2;79.06;3;51
186;2;38.43;3;52
187;2;85.95;4;53
188;2;48.42;2;54
189;1;80.87;4;55
190;1;92;4;55
191;2;60.05;3;55
192;2;165.11;6;56
193;2;71.5;4;56
194;2;82.54;3;56
195;2;39.97;2;56
196;2;31.6;2;56
197;2;73.5;3;56
198;2;23.82;1;56
199;2;37.3;2;56
200;2;49.1;2;56
201;2;30.94;1;56
202;1;65.66;3;56
203;2;27.19;1;56
204;2;46.92;2;56
205;1;78.3;4;56
206;2;88.5;5;56
207;2;24.05;1;56
208;2;89;5;56
209;2;23.86;1;56
210;2;47.44;2;56
211;1;80.14;4;56
212;2;53.42;3;56
213;2;28.13;1;56
214;1;88.14;4;56
215;2;77.91;3;56
216;2;26.4;1;56
217;2;146.68;4;57
218;1;92.54;4;58
219;2;25;3;59
220;2;148.41;5;60
221;2;66.36;3;61
222;2;119.4;4;62
223;2;33.49;1;62
224;2;96.4;4;62
225;2;53.22;2;62
226;2;142.98;5;63
227;2;108.49;4;63
228;2;29.16;1;63
229;1;79.27;4;63
230;2;64.21;4;63
231;2;121.9;5;63
232;2;49.33;2;63
233;2;47.02;3;63
234;2;37.18;2;63
235;2;41.42;1;63
236;2;62.15;3;63
237;2;59.81;4;63
238;2;20.45;1;63
239;2;49.46;2;63
240;2;45.12;2;63
241;2;68.95;3;63
242;2;72.93;2;63
243;2;65.9;3;63
244;2;31.84;2;63
245;2;29.36;1;63
246;2;29.21;1;63
247;2;23.7;1;63
248;2;73.94;3;63
249;2;68.37;3;63
250;2;73.65;3;63
251;2;31.62;1;63
252;2;50.16;2;64
253;1;145.28;4;65
254;2;49.99;3;65
255;2;58.67;2;66
256;2;77.56;5;66
257;2;81.62;4;66
258;2;89.56;3;66
259;2;21.4;1;66
260;2;20.69;1;66
261;2;67.85;3;66
262;2;51.07;3;66
263;1;55.74;3;67
264;1;106;6;68
265;1;39.62;3;69
266;1;570;6;70
267;1;93.89;6;70
268;2;76.95;3;71
269;2;60.2;3;72
270;2;48.5;3;72
271;2;57.74;3;72
272;2;78.24;4;72
273;2;64.24;3;73
274;2;34.46;2;74
275;2;124.01;3;74
276;2;34.9;1;74
277;2;22.19;1;74
278;2;83.87;4;74
279;2;61.4;4;74
280;2;78.3;4;74
281;1;107.77;5;75
282;1;128.8;5;75
283;2;58.46;3;75
284;2;40.06;2;75
285;2;106;5;76
286;2;74.54;3;77
287;2;81.72;3;77
288;2;67.64;4;77
289;2;42.98;2;77
290;2;40.57;2;77
291;2;105.71;4;78
292;2;32.89;1;78
293;2;79.54;3;78
294;2;72.07;2;78
295;2;44.44;3;78
296;2;136.86;2;78
297;2;55.5;2;78
298;2;75.06;3;78
299;2;67.58;4;78
300;2;106.43;4;79
301;2;38.97;2;79
302;2;29.74;1;80
303;2;24.32;1;80
304;2;35.97;1;80
305;2;26.76;1;80
306;2;35.2;2;80
307;2;24.89;2;80
308;2;45.22;3;80
309;2;22.92;1;80
310;2;65.4;3;81
311;1;89.06;4;81
312;2;44.24;2;81
313;2;144.6;4;82
314;2;51.42;2;82
315;1;71.39;3;82
316;2;23.25;1;82
317;2;30.47;2;82
318;2;28.33;1;82
319;2;53.1;2;82
320;2;67.22;3;82
321;2;82.11;4;82
322;2;35.71;1;82
323;2;52.45;4;82
324;2;21.35;1;82
325;2;73.48;4;82
326;2;54.79;4;82
327;2;22.9;1;82
328;2;69.7;4;82
329;2;60.28;3;82
330;2;50.05;2;82
331;1;25.4;4;82
332;2;24.74;1;83
333;2;41.16;2;83
334;2;28.02;1;83
335;2;20.92;1;84
336;2;27.46;1;84
337;2;34.95;2;84
338;2;20.55;1;84
339;2;29.03;2;84
340;2;19.72;1;84
341;2;14.41;1;84
342;2;26.99;1;84
343;2;108.85;2;84
344;2;26.41;1;84
345;2;16.61;1;84
346;2;17.31;1;84
347;2;11.43;1;84
348;2;28.4;2;84
349;2;26.09;1;84
350;2;17.6;1;84
351;2;27.45;1;84
352;2;93.76;4;85
353;2;18;1;85
354;2;18.26;1;85
355;2;20.73;1;86
356;2;59.73;2;86
357;2;28.48;1;86
358;2;35.65;2;86
359;1;28.9;3;86
360;2;26.6;2;87
361;2;40;3;88
362;2;90.75;4;88
363;2;22.91;1;88
364;2;25.08;2;88
365;2;46.93;2;88
366;2;56.04;2;88
367;2;65.5;2;89
368;2;60.66;3;90
369;2;23.02;1;91
370;2;58.96;3;91
371;2;46.21;2;91
372;2;25.44;2;91
373;2;38.9;2;91
374;2;16.81;1;91
375;2;64.96;2;91
376;2;33.05;2;92
377;2;18.44;1;92
378;2;18.84;1;92
379;2;25.32;1;92
380;2;25.07;1;92
381;2;102.87;4;92
382;2;23.35;1;92
383;2;24.25;1;92
384;2;27.36;1;92
385;2;27.22;1;92
386;2;30.95;1;92
387;2;27.18;1;92
388;2;27.5;1;92
389;2;30;1;92
390;2;36.24;2;92
391;2;25.35;1;92
392;2;28;1;92
393;2;17.14;1;92
394;1;20.85;2;93
395;1;21.71;2;93
396;1;20.5;1;93
397;2;142.9;5;94
398;2;80.26;3;95
399;2;76.81;4;96
400;2;33.8;2;96
401;2;42.73;2;96
402;1;27.26;1;96
403;2;49.2;2;96
404;1;92.94;4;96
405;2;45.2;2;96
406;2;64.99;3;96
407;2;54.64;3;96
408;2;46.42;2;96
409;2;29.66;2;97
410;1;82.37;5;98
411;2;15;4;98
412;2;83.88;5;98
413;2;63.73;3;98
414;2;30.05;1;98
415;2;62.43;2;98
416;2;56.52;3;98
417;2;67;4;98
418;2;54.33;3;98
419;2;83.46;4;98
420;2;44.2;2;98
421;2;53.81;2;98
422;2;68.19;4;98
423;2;59.5;3;98
424;2;75.3;3;98
425;1;245.13;8;98
426;1;50.04;2;98
427;2;25.55;2;99
428;2;37.55;2;99
429;2;73.99;3;99
430;2;24.87;1;99
431;2;32.84;1;99
432;2;42.72;2;99
433;2;30;1;99
434;2;25.9;1;99
435;2;29.85;1;99
436;2;56.19;3;99
437;2;37.71;1;99
438;2;40.4;1;100
439;1;59.36;2;101
440;2;39.16;2;102
441;2;99.22;4;102
442;2;61.53;2;103
443;2;119.4;5;103
444;2;62.85;3;104
445;2;130.2;5;104
446;2;19.28;1;105
447;1;119.9;4;105
448;2;41.7;1;106
449;1;97.07;4;107
450;2;152.65;5;108
451;2;36.42;1;109
452;2;25.95;1;110
453;2;46.78;2;111
454;2;29.33;1;111
455;2;19.15;1;112
456;2;14.33;1;112
457;2;23.69;1;113
458;2;17.34;1;114
459;2;44.71;2;114
460;2;55.76;1;114
461;2;18.63;1;114
462;2;56.2;4;115
463;2;43.33;3;115
464;2;54.25;3;115
465;2;59.6;4;116
466;2;62.38;3;117
467;2;45.08;2;117
468;2;72.72;6;117
469;2;35.18;2;117
470;2;78.84;4;117
471;2;40.92;1;117
472;2;67;4;117
473;2;0.4;1;117
474;2;66.45;2;117
475;2;68.23;3;117
