id_vente;date-mut;val_fon;id_bien
1;2020-02-03;56000;1
2;2020-01-02;165000;2
3;2020-01-27;123100;3
4;2020-02-25;442100;4
5;2020-03-16;182000;5
6;2020-01-08;720000;6
7;2020-01-16;563130;7
8;2020-01-20;561550;8
9;2020-02-25;640000;9
10;2020-03-09;282000;10
11;2020-04-15;230000;11
12;2020-04-24;289150;12
13;2020-05-29;371550;13
14;2020-05-19;513350;14
15;2020-06-02;471810;15
16;2020-06-04;243000;16
17;2020-01-06;429250;17
18;2020-01-16;330000;18
19;2020-01-07;220900;19
20;2020-01-15;160000;20
21;2020-02-14;90500;21
22;2020-02-19;54000;22
23;2020-02-28;167000;23
24;2020-03-04;232550;24
25;2020-03-04;90000;25
26;2020-03-25;132300;26
27;2020-03-16;131500;27
28;2020-03-11;181970;28
29;2020-03-31;164000;29
30;2020-04-21;138000;30
31;2020-04-28;114400;31
32;2020-04-29;98000;32
33;2020-04-29;104000;33
34;2020-05-15;79370;34
35;2020-05-15;69800;35
36;2020-05-12;136000;36
37;2020-05-20;82500;37
38;2020-01-21;42000;38
39;2020-01-16;131376;39
40;2020-04-10;50000;40
41;2020-01-07;262000;41
42;2020-05-05;162000;41
43;2020-01-08;190000;42
44;2020-01-17;535000;43
45;2020-01-31;285000;44
46;2020-01-29;486415;45
47;2020-02-03;332500;46
48;2020-02-12;133000;47
49;2020-01-29;580450;48
50;2020-02-17;189350;49
51;2020-03-03;251500;50
52;2020-04-17;505000;51
53;2020-05-07;483800;52
54;2020-05-15;469820;53
55;2020-05-12;439785;54
56;2020-06-17;595600;55
57;2020-01-27;110600;56
58;2020-02-03;135700;57
59;2020-02-28;139130;58
60;2020-03-31;114500;59
61;2020-03-16;16300;60
62;2020-01-30;50000;61
63;2020-01-09;212000;62
64;2020-01-21;125000;63
65;2020-01-28;592487;64
66;2020-02-17;215000;65
67;2020-02-04;152470;66
68;2020-02-12;167550;67
69;2020-03-03;152000;68
70;2020-03-10;222450;69
71;2020-04-03;210000;70
72;2020-04-09;190000;71
73;2020-04-30;245000;72
74;2020-05-12;234810;73
75;2020-05-06;294000;74
76;2020-06-04;100000;75
77;2020-01-28;358000;76
78;2020-02-03;140500;77
79;2020-02-03;67000;78
80;2020-02-07;164665;79
81;2020-02-14;128460;80
82;2020-02-18;129258;81
83;2020-02-28;210000;82
84;2020-02-28;74000;83
85;2020-03-16;147500;84
86;2020-05-07;188000;85
87;2020-05-20;170000;86
88;2020-01-22;220000;87
89;2020-02-18;430000;88
90;2020-03-18;247000;89
91;2020-03-26;271000;90
92;2020-05-18;161000;91
93;2020-06-11;220470;92
94;2020-01-27;79300;93
95;2020-01-06;285000;94
96;2020-01-28;185000;95
97;2020-01-23;237900;96
98;2020-01-24;425000;97
99;2020-02-06;475150;98
100;2020-01-28;210000;99
101;2020-02-10;295000;100
102;2020-02-21;310000;101
103;2020-03-05;389500;102
104;2020-03-11;229100;103
105;2020-04-22;223905;104
106;2020-04-08;445000;105
107;2020-04-09;145900;106
108;2020-04-29;367000;107
109;2020-05-19;116500;108
110;2020-05-12;230000;109
111;2020-01-16;107500;110
112;2020-02-05;352300;111
113;2020-05-07;185000;112
114;2020-01-30;128810;113
115;2020-01-23;155000;114
116;2020-02-07;143850;115
117;2020-02-13;55000;116
118;2020-05-06;115000;117
119;2020-05-29;193700;118
120;2020-02-05;31000;119
121;2020-01-27;101050;120
122;2020-01-13;114000;121
123;2020-02-04;152900;122
124;2020-03-11;43000;123
125;2020-03-14;120000;124
126;2020-05-13;185000;125
127;2020-05-18;65000;126
128;2020-06-02;83000;127
129;2020-01-31;530000;128
130;2020-02-11;305500;129
131;2020-02-25;435000;130
132;2020-03-11;510000;131
133;2020-05-15;410000;132
134;2020-01-31;150000;133
135;2020-02-06;220000;134
136;2020-02-07;428000;135
137;2020-02-18;465660.47;136
138;2020-02-17;506000;137
139;2020-02-12;292000;138
140;2020-04-07;375000;139
141;2020-05-15;469000;140
142;2020-02-07;55000;141
143;2020-02-10;89000;142
144;2020-02-12;132500;143
145;2020-04-01;45000;144
146;2020-02-05;68000;145
147;2020-01-30;570840;146
148;2020-02-14;390000;147
149;2020-02-24;160000;148
150;2020-03-03;200000;149
151;2020-03-12;266960;150
152;2020-04-15;540000;151
153;2020-05-14;205000;152
154;2020-05-12;315000;153
155;2020-02-05;62500;154
156;2020-05-18;54120;155
157;2020-02-12;50000;156
158;2020-02-20;105500;157
159;2020-04-27;44000;158
160;2020-02-11;212862;159
161;2020-02-25;156580;160
162;2020-02-20;505000;161
163;2020-03-02;495000;162
164;2020-02-27;315800;163
165;2020-03-17;164000;164
166;2020-03-17;93585;165
167;2020-03-10;440000;166
168;2020-03-27;170000;167
169;2020-03-19;98000;168
170;2020-04-22;57000;169
171;2020-03-10;126000;170
172;2020-03-19;70000;171
173;2020-03-16;60000;172
174;2020-04-03;174850;173
175;2020-04-17;76000;174
176;2020-05-19;324050;175
177;2020-05-11;620000;176
178;2020-06-04;100000;177
179;2020-06-26;225000;178
180;2020-01-14;106000;179
181;2020-01-10;203400;180
182;2020-04-06;130000;181
183;2020-01-07;212150;182
184;2020-01-03;102000;183
185;2020-01-16;150200;184
186;2020-01-13;129400;185
187;2020-05-15;84800;186
188;2020-05-20;282600;187
189;2020-05-22;145100;188
190;2020-01-16;87000;189
191;2020-02-14;70000;190
192;2020-05-11;90000;191
193;2020-01-03;142000;192
194;2020-01-15;66000;193
195;2020-01-22;71500;194
196;2020-01-10;68100;195
197;2020-02-17;37900;196
198;2020-02-21;112900;197
199;2020-02-21;39500;198
200;2020-02-24;39900;199
201;2020-02-19;78100;200
202;2020-02-06;37015;201
203;2020-03-12;93000;202
204;2020-04-09;35000;203
205;2020-04-06;42500;204
206;2020-04-09;88000;205
207;2020-05-06;80900;206
208;2020-05-04;34000;207
209;2020-05-26;81500;208
210;2020-05-26;27000;209
211;2020-05-30;44500;210
212;2020-06-05;75000;211
213;2020-05-22;44000;212
214;2020-06-23;35500;213
